Quarter,Campus,Item,Course.ID,Title,CREDIT,TYPE.days,Time,Room,Instructor,Enrolled,divider,classCap,Wait.List,FTES.TOTAL,FTES.STATE,Clustered,Type
Fall 2012,North,9414,ACCT&203  D1,PRIN OF ACCOUNTING III,5,Online,-,-,Rwoods ,22,/,25,0,7.3,6.3,,
Fall 2012,North,9417,ACCT 200  D1,ACCT FOR NON ACCOUNTANTS,5,Online,-,-,Cancel 9/21,0,/,25,0,0,0,,
Fall 2012,North,9418,ACCT 251  D1,INTERMEDIATE ACCOUNTG I,5,Online,-,-,Rwoods ,29,/,25,0,9.7,9.7,,
Fall 2012,North,9422,ACCT 254  D1,ADVANCED ACCOUNTING,5,Online,-,-,Cancel 5/11,0,/,25,0,0,0,,
Fall 2012,North,9424,ACCT 255  D2,INDIVIDUAL INCOME TAX,5,Online,-,-,Egodifay ,22,/,30,0,7.3,7.3,,
Fall 2012,North,9425,ACCT 256  D1,TAXATION OF CORP AND PAR,5,Online,-,-,Nrdaniels ,28,/,25,1,9.3,9,,
Fall 2012,North,9426,ACCT 260  D1,PEACHTREE ACCOUNTING,5,Online,-,-,Htian ,25,/,25,3,8.3,8.3,,
Fall 2012,North,9431,ACCT 267  D1,NOT FOR PROFIT FIN MNGMT,5,Online,-,-,Kfoe ,23,/,25,0,7.7,7.3,,
Fall 2012,North,9433,ACCT 272  D1,FRAUD EXAMINATION,5,Online,-,-,Lpsomostithi,21,/,25,0,7,7,,
Fall 2012,North,9434,ACCT 275  D1,AUDITING,5,Online,-,-,Kfoe ,24,/,25,11,8,8,,
Fall 2012,North,9435,BUS& 101  D1,INTRO TO BUSINESS,5,Online,-,-,Nadelson ,24,/,25,0,8,7.3,,
Fall 2012,North,9437,BUS 124  D1,EXCEL FOR BUSINESS,5,Online,-,-,Bbarry ,24,/,25,0,8,7.3,,
Fall 2012,North,9440,BUS 118  D1,PROJECT MGMNT INTRO OVER,5,Online,-,-,Wholt ,24,/,25,0,8,8,,
Fall 2012,North,9442,BUS 119  D1,LEADERSHIP MNGMT SKILLS,3,Online,-,-,Cancel 4/24,0,/,25,0,0,0,,
Fall 2012,North,9450,BUS 200  D1,LAW AND SOCIETY,5,Online,-,-,Lhopt ,24,/,25,2,8,6,,
Fall 2012,North,9452,BUS 236  D1,I'PERSONAL COMM WORKPLAC,5,Online,-,-,Bradenco ,19,/,25,0,6.3,6.3,,
Fall 2012,North,9460,EET 136  D1,INTRODUCTION TO ROBOTS,5,Online,-,-,Tfiegenb ,24,/,25,0,8,8,,
Fall 2012,North,9461,EET 136  D2,INTRODUCTION TO ROBOTS,5,Online,-,-,Tfiegenb ,17,/,24,0,5.7,5,,
Fall 2012,North,9464,IT 101  D1,SOFTWARE APPLICATIONS,5,HYBRID - ,: M,OFF,Bcampbel ,23,/,25,0,7.7,7.7,,
Fall 2012,North,9466,IT 111  D1,INTERNET AND WEB AUTHORI,5,Online,-,-,Jkent ,25,/,25,0,8.3,8.3,,
Fall 2012,North,9467,IT 122  D1,NETWORK OS 1 WINDOWS CLI,5,Online,-,-,Mrice ,10,/,0,3,3.3,3.3,9467B232,
Fall 2012,North,9468,IT 126  D1,NETWORK OS 3 WINDOWS NET,5,Online,-,-,Mrice ,10,/,0,2,3.3,3.3,9467B232,
Fall 2012,North,9469,IT 128  D1,NETWORK OS 4 WINDOWS ACT,5,Online,-,-,Mrice ,5,/,0,1,1.7,1.7,9467B232,
Fall 2012,North,9470,RES 180  D1,BASIC APPRAISAL PRINCIPL,3,Online,-,-,Galberti ,28,/,25,0,5.6,5.4,,
Fall 2012,North,9482,INFO 101  D1,ETHICS IN DIGITAL WORLD,3,Online,-,-,Cancel 8/14,0,/,25,0,0,0,,
