JOB,BASE SALARY,SRV YEARS ,PROG SYMBOL,PROGRAM,WEEKLY LOAD ,LAB
FTF MATHEMATICS-OVERALL,58517,15,MAT,MATHEMATICS ,18,N
FTF MEDICAL ASSISTANT,55190,3,AMA,MEDICAL ASSISTANT,20,N
FTF MEDICAL ASSISTANT,59820,12,AMA,MEDICAL ASSISTANT,20,N
FTF MICROCOMPUTER MGMT,62401,18,BUS,BUSINESS,18,N
FTF MUSIC,63565,20,MUS,MUSIC,18,N
FTF NETWORK TECHNOLOGY,60023,10,ITC,INFORMATION TECHNOLOGIES ,15,N
FTF NURSING,60186,17,NUR,NURSING ,18,N
FTF NURSING,57758,1,NUR,NURSING ,18,N
FTF NURSING,56645,5,NUR,NURSING ,18,N
FTF NURSING,57687,4,NUR,NURSING ,18,N
FTF NURSING,58137,8,NUR,NURSING ,18,N
FTF NURSING,59264,8,NUR,NURSING ,18,N
FTF NUTRITION/HEALTH,57953,8,LFS,LIFE SCIENCES ,18,N
FTF NUTRITION/HEALTH,58460,9,LFS,LIFE SCIENCES ,18,N
FTF OCCUPATIONAL TEACH ED,58331,16,N/A,N/A,15,N
FTF OPTICIANRY SCHOOL OF,57393,11,OPH,OPTICIANRY ,20,N
FTF PARENT CO-OP,57768,13,FAM,FAMILY LIFE PARENT ED,20,N
FTF PARENT EDUCATION,56144,3,FAM,FAMILY LIFE PARENT ED,20,N
FTF PHARMACY TECHNICIAN,55560,10,PHA,PHARMACY TECH,20,N
FTF PHILOSOPHY,62284,19,PHI,PHILOSOPHY ,15,N
FTF PHYSICAL EDUCATION,67164,22,PEC,PHYSICAL EDUCATION ,18,Y
FTF PHYSICAL SCIENCES,70687,33,PHS,PHYSICAL SCIENCES ,18,Y
FTF PHYSICS,57687,4,PHS,PHYSICAL SCIENCES ,18,p
FTF PHYSICS,57687,4,PHS,PHYSICAL SCIENCES ,18,p
FTF PHYSICS,58460,7,PHS,PHYSICAL SCIENCES ,18,Y
FTF PHYSICS,58584,4,PHS,PHYSICAL SCIENCES ,18,Y
FTF PHYSICS,61271,17,PHS,PHYSICAL SCIENCES ,18,Y
FTF PHYSICS,62889,21,PHS,PHYSICAL SCIENCES ,18,Y
