Winter 2013,SVI,1717,GED 050  01,BASIC GED PREPARATION 5,18,TWThF,9:00 AM,SVI0310,Cancel 12/12,0,/,75,0,0,0,
Winter 2013,SVI,1716,GED 050  02,BASIC GED PREPARATION 5,5,TWThF,11:30 AM,SVI0310,"Jarrett, bar",45,/,25,0,15,14,
Winter 2013,SVI,1712,GED 051  02,BASIC GED PREP MATH 5,5,TWThF,11:30 AM,SVI0310,"Moore,coch ",38,/,25,0,12.7,11.3,
Winter 2013,SVI,1711,GED 051  01,BASIC GED PREPARATION 5,5,TWThF,9:00 AM,SVI0310,"Moore,coch ",47,/,25,0,15.7,14.3,
Winter 2013,SVI,1714,GED 052  02,BASIC GED PREP COMM 5,5,TWThF,10:15 AM,SVI0310,"Jarrett, bar",36,/,25,0,12,10.3,
Winter 2013,SVI,1713,GED 052  01,BASIC GED PREP COMM 5,5,TWThF,10:15 AM,SVI0310,"Moore, coch ",45,/,25,0,15,13.7,
Winter 2013,SVI,5020,GSPL 020  01,PHLEBOTOMY,8,MTTh,5:00 PM,SVI0601,Walker s ,17,/,25,0,9.1,8,
Winter 2013,SVI,9416,ITC 134  IBS,COMPUTER OPERATING SYSTM,5,TTh,7:15 PM,SCC3179,"Costello,bob",5,/,25,0,1.7,1.7,
Winter 2013,SVI,9415,ITC 140  IBS,INTRO TO COMPUTER HDWARE,5,WF,7:15 PM,SCC3179,"Jackson,greg",5,/,25,0,1.7,1.7,
Winter 2013,SVI,3299,MTA 090  01,FOUNDATIONS FOR SUCCESS,1,Arr,AR:R M,SVI,"Bailey, rose",15,/,30,0,1,1,
Winter 2013,SVI,3350,MTA 090  01,PACT TRAINING READINESS,1,WTh,9:00 AM,SVI0105,"Woods,steve ",18,/,40,0,1.2,1.2,
Winter 2013,SVI,3300,MTA 100  01,STRAT SUCCESS PACT STU,1,WF,9:00 AM,SVI0105,"Woods,steve ",15,/,30,0,1,1,
Winter 2013,SVI,3301,MTA 160  01,CONSTRUCTION JOB SKILLS,2,TWThF,8:00 AM,SVI0105,"Woods,steve ",15,/,20,0,2,2,
Winter 2013,SVI,3311,MTA 161  01,CONSTRUCTION JOB READINS,6,MTWTh,12:15 PM,SVI0301,"Davies,diane",15,/,20,0,5.5,5.5,
Winter 2013,SVI,3305,MTA 162  01,TRADES MATH I,6,TWThF,10:00 AM,SVI0105,"Brooks,gabri",15,/,20,0,6,6,
Winter 2013,SVI,3312,MTA 163  01,BLUEPRINT READING,4,TWThF,9:00 AM,SVI0610,Avila eric ,15,/,20,0,3.5,3.5,
Winter 2013,SVI,3304,MTA 164  01,INDUSTRIAL 1ST AID/CPR,0,Th,8:00 AM,SVI0102,"Woods,steve ",15,/,20,0,0.5,0.5,
Winter 2013,SVI,3302,MTA 167  01,CONST TRADES TRAINING I,3,TWThF,8:00 AM,SVI0105,"Woods,steve ",15,/,20,0,3,3,
Winter 2013,SVI,3306,MTA 168  01,CONST TRADES TRAINING II,4,TWThF,1:30 PM,SVI0105,"Woods,steve ",15,/,20,0,3.5,3.5,
Winter 2013,SVI,3313,MTA 169  01,CONST TRADES TRAING III,2,TWThF,8:00 AM,SVI0201,Avila eric ,15,/,20,0,2,2,
Winter 2013,SVI,3314,MTA 170  01,ASSET PREPARATION,2,TWThF,12:15 AM,SVI0301,"Brooks,gabri",15,/,20,0,2,2,
Winter 2013,SVI,3308,MTA 174  01,TOOLS/MATERIAL ID/HANDL,2,TWThF,8:00 AM,SVI0105,"Woods,steve ",15,/,20,0,2,2,
Winter 2013,SVI,3315,MTA 175  01,FORMS AND GRADES,2,TWThF,8:00 AM,SVI0201,"Woods,steve ",15,/,20,0,2,2,
Winter 2013,SVI,3316,MTA 176  01,TRADES MATH II,2,TWThF,9:00 AM,SVI0201,Avila eric ,15,/,15,0,2.5,2.5,
Winter 2013,SVI,3309,MTA 177  01,PHYS/FITNESS NUTRITION I,2,TWThF,9:00 AM,SVI0105,Avila eric ,15,/,20,0,2,2,
Winter 2013,SVI,3317,MTA 178  01,PHYS/FIT NUTRITION II,2,TWThF,8:00 AM,SVI0201,Avila eric ,15,/,20,0,2.5,2.5,
Winter 2013,SVI,3310,MTA 179  01,OSHA 10 SAFETY,1,ThF,8:00 AM,SVI0105,"Woods,steve ",15,/,20,0,1,1,
Winter 2013,SVI,4104,PSG 110  01,BEHAVIORAL PSYCHOLOGY,2,WF,2:30 PM,SVI0417,"Gilman, s ",21,/,28,0,2.8,2.7,
